1.4	-0.98545	1.15542	1.9709
1.41	-0.9871	1.1472	1.9742
1.42	-0.988652	1.13888	1.9773
1.43	-0.990105	1.13044	1.98021
1.44	-0.991458	1.12188	1.98292
1.45	-0.992713	1.11322	1.98543
1.46	-0.993868	1.10444	1.98774
1.47	-0.994924	1.09555	1.98985
1.48	-0.995881	1.08655	1.99176
1.49	-0.996738	1.07745	1.99348
1.5	-0.997495	1.06823	1.99499
1.51	-0.998152	1.05891	1.9963
1.52	-0.99871	1.04948	1.99742
1.53	-0.999168	1.03995	1.99834
1.54	-0.999526	1.03032	1.99905
1.55	-0.999784	1.02058	1.99957
1.56	-0.999942	1.01074	1.99988
1.57	-1	1.0008	2
1.58	-0.999958	0.990754	1.99992
1.59	-0.999816	0.980613	1.99963
1.6	-0.999574	0.970374	1.99915
1.61	-0.999232	0.960038	1.99846
1.62	-0.99879	0.949606	1.99758
1.63	-0.998248	0.939079	1.9965
1.64	-0.997606	0.928458	1.99521
1.65	-0.996865	0.917744	1.99373
1.66	-0.996024	0.906939	1.99205
1.67	-0.995083	0.896042	1.99017
1.68	-0.994043	0.885056	1.98809
1.69	-0.992904	0.873982	1.98581
1.7	-0.991665	0.86282	1.98333
1.71	-0.990327	0.851572	1.98065
1.72	-0.98889	0.840239	1.97778
1.73	-0.987354	0.828822	1.97471
1.74	-0.985719	0.817322	1.97144
1.75	-0.983986	0.80574	1.96797
1.76	-0.982154	0.794077	1.96431
1.77	-0.980224	0.782336	1.96045
1.78	-0.978197	0.770516	1.95639
1.79	-0.976071	0.758619	1.95214
1.8	-0.973848	0.746646	1.9477
1.81	-0.971527	0.734598	1.94305
1.82	-0.969109	0.722477	1.93822
1.83	-0.966594	0.710283	1.93319
1.84	-0.963983	0.698019	1.92797
1.85	-0.961275	0.685685	1.92255
1.86	-0.958471	0.673282	1.91694
1.87	-0.955572	0.660812	1.91114
1.88	-0.952576	0.648276	1.90515
1.89	-0.949486	0.635675	1.89897
1.9	-0.9463	0.623011	1.8926
1.91	-0.94302	0.610284	1.88604
1.92	-0.939645	0.597496	1.87929
1.93	-0.936177	0.584648	1.87235
1.94	-0.932615	0.571742	1.86523
1.95	-0.92896	0.558779	1.85792
1.96	-0.925212	0.54576	1.85042
1.97	-0.921371	0.532686	1.84274
1.98	-0.917438	0.519559	1.83488
1.99	-0.913413	0.50638	1.82683
2	-0.909297	0.493151	1.81859
