Time(ms) V(milliamperes) n( ) h( ) m( )
  0.0000e+00  0.0000e+00  3.1768e-01  5.9612e-01  5.2930e-02
  6.6000e-01 -9.0543e+00  3.2893e-01  5.7829e-01  1.1162e-01
  6.7000e-01 -9.0725e+00  3.2920e-01  5.7784e-01  1.1253e-01
  6.8000e-01 -9.0927e+00  3.2948e-01  5.7740e-01  1.1341e-01
  6.9000e-01 -9.1148e+00  3.2975e-01  5.7695e-01  1.1429e-01
  7.0000e-01 -9.1389e+00  3.3002e-01  5.7650e-01  1.1514e-01
  7.1000e-01 -9.1648e+00  3.3030e-01  5.7605e-01  1.1598e-01
  7.2000e-01 -9.1926e+00  3.3057e-01  5.7560e-01  1.1681e-01
  7.3000e-01 -9.2222e+00  3.3084e-01  5.7515e-01  1.1762e-01
  7.4000e-01 -9.2537e+00  3.3112e-01  5.7470e-01  1.1843e-01
  7.5000e-01 -9.2869e+00  3.3140e-01  5.7425e-01  1.1922e-01
  7.6000e-01 -9.3219e+00  3.3167e-01  5.7379e-01  1.2000e-01
  7.7000e-01 -9.3586e+00  3.3195e-01  5.7333e-01  1.2078e-01
  7.8000e-01 -9.3971e+00  3.3223e-01  5.7287e-01  1.2154e-01
  7.9000e-01 -9.4373e+00  3.3250e-01  5.7241e-01  1.2231e-01
  8.0000e-01 -9.4791e+00  3.3278e-01  5.7195e-01  1.2306e-01
  8.1000e-01 -9.5226e+00  3.3306e-01  5.7149e-01  1.2381e-01
  8.2000e-01 -9.5678e+00  3.3335e-01  5.7102e-01  1.2456e-01
  8.3000e-01 -9.6147e+00  3.3363e-01  5.7055e-01  1.2530e-01
  8.4000e-01 -9.6632e+00  3.3391e-01  5.7008e-01  1.2604e-01
  8.5000e-01 -9.7134e+00  3.3420e-01  5.6961e-01  1.2678e-01
  8.6000e-01 -9.7653e+00  3.3448e-01  5.6913e-01  1.2752e-01
  8.7000e-01 -9.8188e+00  3.3477e-01  5.6865e-01  1.2826e-01
  8.8000e-01 -9.8740e+00  3.3506e-01  5.6817e-01  1.2900e-01
  8.9000e-01 -9.9308e+00  3.3535e-01  5.6768e-01  1.2974e-01
  9.0000e-01 -9.9893e+00  3.3564e-01  5.6719e-01  1.3049e-01
  9.1000e-01 -1.0050e+01  3.3594e-01  5.6670e-01  1.3123e-01
  9.2000e-01 -1.0111e+01  3.3623e-01  5.6621e-01  1.3198e-01
  9.3000e-01 -1.0175e+01  3.3653e-01  5.6571e-01  1.3274e-01
  9.4000e-01 -1.0240e+01  3.3683e-01  5.6521e-01  1.3350e-01
  9.5000e-01 -1.0307e+01  3.3713e-01  5.6470e-01  1.3427e-01
  9.6000e-01 -1.0376e+01  3.3743e-01  5.6419e-01  1.3504e-01
  9.7000e-01 -1.0447e+01  3.3774e-01  5.6368e-01  1.3582e-01
  9.8000e-01 -1.0520e+01  3.3804e-01  5.6316e-01  1.3660e-01
  9.9000e-01 -1.0594e+01  3.3835e-01  5.6264e-01  1.3740e-01
  1.0000e+00 -1.0670e+01  3.3866e-01  5.6211e-01  1.3820e-01
